category,count_entries,count_expanded,first_version_recommendation,examples
PyBullet native geometry,7,7,recommended,"GEOM_SPHERE; GEOM_BOX; GEOM_CYLINDER; GEOM_CAPSULE; GEOM_PLANE; GEOM_MESH; GEOM_HEIGHTFIELD"
ground/site,7,7,partial,"plane.urdf; plane100.urdf; stadium.sdf; plane_stadium.sdf"
spheres,9,9,recommended_subset,"sphere2.urdf; sphere_with_restitution.urdf; soccerball.urdf"
blocks/bricks,9,9,recommended_subset,"cube.urdf; block.urdf; lego/lego.urdf; jenga/jenga.urdf; domino/domino.urdf"
daily objects/containers/toys,9,9,recommended_later,"duck_vhacd.urdf; teddy_vhacd.urdf; objects/mug.urdf; tray/tray.urdf"
tables/shelves/environment,3,3,partial,"table/table.urdf; table_square/table_square.urdf; kiva_shelf/model.sdf"
robot arms,9,9,defer,"franka_panda/panda.urdf; kuka_iiwa/model.urdf; xarm/xarm6_with_gripper.urdf"
grippers,8,8,defer,"gripper/wsg50_one_motor_gripper.sdf"
mobile robots/vehicles,5,5,defer,"r2d2.urdf; racecar/racecar.urdf; husky/husky.urdf; bicycle/bike.urdf"
quadrupeds/multi-legged robots,10,10,defer,"a1/a1.urdf; aliengo/aliengo.urdf; laikago/laikago.urdf"
humanoid/biped/mechanisms,8,8,defer,"humanoid/humanoid.urdf; cartpole.urdf; pendulum5.urdf"
MJCF RL models,17,17,defer,"mjcf/pusher.xml; mjcf/reacher.xml; mjcf/ant.xml"
soft body/terrain resources,4,4,defer,"cloth_z_up.urdf; torus_deform.urdf; heightmaps/"
random_urdfs collection,1,1000,recommended_after_filtering,"random_urdfs/000/000.urdf ... random_urdfs/999/999.urdf"
Kubric implementation entries,3,3,implementation_only,"kb.Cube; kb.Sphere; FileBasedObject + .urdf"
